transaction_id,true_category,anomaly_label,fraud_label,comment
TX0000001,Transport,0,0,RAS
TX0000003,Transport,0,0,RAS
TX0000002,Transport,0,0,RAS
TX0000004,E-commerce,0,0,RAS
TX0000005,Logement,0,0,RAS
TX0000008,Retrait cash,0,0,RAS
TX0000007,Logement,0,0,RAS
TX0000006,Alimentation,0,0,RAS
TX0000009,Loisirs,0,0,RAS
TX0000010,Factures,0,0,RAS
TX0000011,Loisirs,0,0,RAS
TX0000012,E-commerce,0,0,RAS
TX0000013,Shopping,0,0,RAS
TX0000014,Alimentation,0,0,RAS
TX0000015,Santé,0,0,RAS
TX0000016,E-commerce,0,0,RAS
TX0000017,Loisirs,0,0,RAS
TX0000018,Factures,0,0,RAS
TX0000019,E-commerce,0,0,RAS
TX0000020,Loisirs,0,0,RAS
TX0000023,Santé,0,0,RAS
TX0000022,Factures,0,0,RAS
TX0000021,Shopping,0,0,RAS
TX0000024,Voyage,0,0,RAS
TX0000025,Factures,0,0,RAS
TX0000026,Alimentation,0,0,RAS
TX0000027,Shopping,0,0,RAS
TX0000030,Alimentation,0,0,RAS
TX0000029,Santé,0,0,RAS
TX0000028,Alimentation,0,0,RAS
TX0000034,Loisirs,0,0,RAS
TX0000032,Alimentation,0,0,RAS
TX0000033,Santé,0,0,RAS
TX0000031,Alimentation,0,0,RAS
TX0000035,Loisirs,0,0,RAS
TX0000037,Alimentation,0,0,RAS
TX0000036,Alimentation,0,0,RAS
TX0000038,Transport,0,0,RAS
TX0000039,Retrait cash,0,0,RAS
TX0000040,Alimentation,0,0,RAS
TX0000041,E-commerce,0,0,RAS
TX0000042,E-commerce,0,0,RAS
TX0000043,Loisirs,0,0,RAS
TX0000046,Shopping,0,0,RAS
TX0000045,Santé,0,0,RAS
TX0000044,Retrait cash,0,0,RAS
TX0000047,Alimentation,0,0,RAS
TX0000049,E-commerce,0,0,RAS
TX0000050,Factures,0,0,RAS
TX0000048,Santé,0,0,RAS
TX0000051,Loisirs,0,0,RAS
TX0000054,Loisirs,0,0,RAS
TX0000053,Transport,0,0,RAS
TX0000052,Loisirs,0,0,RAS
TX0000057,Shopping,0,0,RAS
TX0000058,Logement,0,0,RAS
TX0000056,Transport,1,0,Montant élevé pour ce type de dépense
TX0000055,Santé,0,0,RAS
TX0000059,Revenu,0,0,Salaire mensuel
TX0000061,Loisirs,0,0,RAS
TX0000060,Factures,0,0,RAS
TX0000063,Shopping,0,0,RAS
TX0000062,Revenu,0,0,Salaire mensuel
TX0000064,Alimentation,0,0,RAS
TX0000065,E-commerce,0,0,RAS
TX0000066,Voyage,0,0,RAS
TX0000067,Alimentation,0,0,RAS
TX0000068,Transport,0,0,RAS
TX0000069,Transport,1,1,Montant anormalement élevé à une heure inhabituelle
TX0000070,Revenu,0,0,Entrée d'argent
TX0000071,Revenu,0,0,Entrée d'argent
TX0000072,Retrait cash,0,0,RAS
TX0000073,Alimentation,0,0,RAS
TX0000075,Shopping,0,0,RAS
TX0000074,Shopping,0,0,RAS
TX0000076,E-commerce,0,0,RAS
TX0000079,Logement,0,0,RAS
TX0000078,Transport,0,0,RAS
TX0000077,Retrait cash,0,0,RAS
TX0000080,Alimentation,0,0,RAS
TX0000083,Factures,0,0,RAS
TX0000082,Alimentation,0,0,RAS
TX0000081,Alimentation,0,0,RAS
TX0000084,Factures,0,0,RAS
TX0000085,Alimentation,0,0,RAS
TX0000086,Retrait cash,0,0,RAS
TX0000087,Shopping,0,0,RAS
TX0000090,Transport,0,0,RAS
TX0000088,Shopping,0,0,RAS
TX0000089,Retrait cash,0,0,RAS
TX0000092,Loisirs,0,0,RAS
TX0000091,Factures,0,0,RAS
TX0000093,Retrait cash,0,0,RAS
TX0000094,Transport,0,0,RAS
TX0000095,Alimentation,0,0,RAS
TX0000096,Retrait cash,0,0,RAS
TX0000097,Logement,0,0,RAS
TX0000098,Santé,0,0,RAS
TX0000099,Retrait cash,0,0,RAS
TX0000100,Loisirs,0,0,RAS
TX0000102,Alimentation,0,0,RAS
TX0000101,Loisirs,0,0,RAS
TX0000103,Shopping,0,0,RAS
TX0000104,Transport,0,0,RAS
TX0000107,Logement,0,0,RAS
TX0000106,Voyage,0,0,RAS
TX0000105,Transport,0,0,RAS
TX0000109,E-commerce,0,0,RAS
TX0000108,Logement,0,0,RAS
TX0000110,Revenu,0,0,Salaire mensuel
TX0000114,Santé,0,0,RAS
TX0000113,Logement,0,0,RAS
TX0000111,Revenu,0,0,Salaire mensuel
TX0000112,Factures,0,0,RAS
TX0000115,Loisirs,0,0,RAS
TX0000116,Shopping,0,0,RAS
TX0000117,Loisirs,0,0,RAS
TX0000118,Santé,0,0,RAS
TX0000119,Shopping,0,0,RAS
TX0000120,Logement,0,0,RAS
TX0000122,Retrait cash,0,0,RAS
TX0000123,Santé,0,0,RAS
TX0000121,Loisirs,1,0,Montant élevé pour ce type de dépense
TX0000124,Transport,0,0,RAS
TX0000127,Alimentation,0,0,RAS
TX0000126,Santé,0,0,RAS
TX0000125,Logement,0,0,RAS
TX0000128,Alimentation,1,1,Montant anormalement élevé à une heure inhabituelle
TX0000130,Retrait cash,0,0,RAS
TX0000131,Transport,0,0,RAS
TX0000129,Factures,0,0,RAS
TX0000132,Alimentation,0,0,RAS
TX0000133,Transport,0,0,RAS
TX0000134,Retrait cash,0,0,RAS
TX0000135,Santé,0,0,RAS
TX0000136,Transport,0,0,RAS
TX0000140,Retrait cash,0,0,RAS
TX0000137,Loisirs,0,0,RAS
TX0000138,E-commerce,0,0,RAS
TX0000139,Retrait cash,0,0,RAS
TX0000142,Retrait cash,0,0,RAS
TX0000141,Alimentation,0,0,RAS
TX0000143,Loisirs,0,0,RAS
TX0000144,Retrait cash,1,1,Montant anormalement élevé à une heure inhabituelle
TX0000145,Retrait cash,0,0,RAS
TX0000147,Retrait cash,0,0,RAS
TX0000146,Factures,0,0,RAS
TX0000148,Voyage,0,0,RAS
TX0000149,Shopping,0,0,RAS
TX0000151,Voyage,0,0,RAS
TX0000150,Shopping,0,0,RAS
TX0000152,Shopping,0,0,RAS
TX0000153,Shopping,0,0,RAS
TX0000154,Voyage,0,0,RAS
TX0000156,Shopping,0,0,RAS
TX0000155,Factures,0,0,RAS
TX0000157,Retrait cash,0,0,RAS
TX0000158,Factures,0,0,RAS
TX0000159,Loisirs,0,0,RAS
TX0000161,Shopping,0,0,RAS
TX0000163,Shopping,0,0,RAS
TX0000160,Transport,0,0,RAS
TX0000162,Alimentation,0,0,RAS
TX0000164,Shopping,0,0,RAS
TX0000165,E-commerce,0,0,RAS
TX0000166,Revenu,0,0,Salaire mensuel
TX0000167,Factures,0,0,RAS
TX0000168,Alimentation,0,0,RAS
TX0000170,Alimentation,0,0,RAS
TX0000169,Shopping,0,0,RAS
TX0000171,Loisirs,0,0,RAS
TX0000173,Transport,0,0,RAS
TX0000172,Santé,0,0,RAS
TX0000176,Santé,0,0,RAS
TX0000175,Shopping,0,0,RAS
TX0000174,Transport,0,0,RAS
TX0000177,Santé,0,0,RAS
TX0000178,Alimentation,0,0,RAS
TX0000180,Santé,0,0,RAS
TX0000181,Factures,0,0,RAS
TX0000179,Retrait cash,0,0,RAS
TX0000182,Shopping,0,0,RAS
TX0000184,Alimentation,0,0,RAS
TX0000183,Shopping,0,0,RAS
TX0000185,Logement,0,0,RAS
TX0000186,E-commerce,0,0,RAS
TX0000187,Alimentation,0,0,RAS
TX0000188,Shopping,1,0,Montant anormalement élevé à une heure inhabituelle
TX0000189,Retrait cash,0,0,RAS
TX0000190,Shopping,0,0,RAS
TX0000191,Transport,0,0,RAS
TX0000192,Logement,0,0,RAS
TX0000193,Transport,0,0,RAS
TX0000194,Alimentation,0,0,RAS
TX0000195,Santé,0,0,RAS
TX0000196,Logement,0,0,RAS
TX0000197,Voyage,0,0,RAS
TX0000198,Loisirs,0,0,RAS
TX0000199,Retrait cash,0,0,RAS
TX0000200,Retrait cash,0,0,RAS
TX0000201,Factures,0,0,RAS
TX0000202,Voyage,0,0,RAS
TX0000204,Voyage,0,0,RAS
TX0000203,Retrait cash,0,0,RAS
TX0000206,Loisirs,0,0,RAS
TX0000205,Loisirs,0,0,RAS
TX0000207,Alimentation,0,0,RAS
TX0000208,Revenu,0,0,Salaire mensuel
TX0000209,Transport,0,0,RAS
TX0000210,Alimentation,0,0,RAS
TX0000211,Alimentation,0,0,RAS
TX0000213,Santé,0,0,RAS
TX0000212,E-commerce,0,0,RAS
TX0000214,Santé,0,0,RAS
TX0000215,Retrait cash,0,0,RAS
TX0000216,Loisirs,0,0,RAS
TX0000217,Transport,0,0,RAS
TX0000219,Alimentation,0,0,RAS
TX0000218,Factures,0,0,RAS
TX0000220,Alimentation,0,0,RAS
TX0000221,Voyage,0,0,RAS
TX0000222,Shopping,0,0,RAS
TX0000223,Voyage,0,0,RAS
TX0000224,Logement,0,0,RAS
TX0000225,Transport,0,0,RAS
TX0000227,Transport,0,0,RAS
TX0000226,Factures,0,0,RAS
TX0000228,Alimentation,0,0,RAS
TX0000229,Transport,0,0,RAS
TX0000231,Factures,0,0,RAS
TX0000232,Retrait cash,0,0,RAS
TX0000230,Alimentation,0,0,RAS
TX0000234,Transport,0,0,RAS
TX0000233,Loisirs,0,0,RAS
TX0000235,Transport,0,0,RAS
TX0000236,Transport,0,0,RAS
TX0000238,Transport,0,0,RAS
TX0000237,Retrait cash,0,0,RAS
TX0000239,Loisirs,0,0,RAS
TX0000241,E-commerce,0,0,RAS
TX0000242,Santé,0,0,RAS
TX0000240,Loisirs,0,0,RAS
TX0000243,Retrait cash,0,0,RAS
TX0000244,Factures,0,0,RAS
TX0000247,Factures,0,0,RAS
TX0000246,Alimentation,0,0,RAS
TX0000245,Loisirs,0,0,RAS
TX0000249,Factures,0,0,RAS
TX0000248,Santé,0,0,RAS
TX0000250,Retrait cash,0,0,RAS
TX0000252,Santé,0,0,RAS
TX0000251,Retrait cash,0,0,RAS
TX0000253,Revenu,0,0,Salaire mensuel
TX0000254,Loisirs,0,0,RAS
TX0000255,E-commerce,0,0,RAS
TX0000256,Revenu,0,0,Salaire mensuel
TX0000258,Shopping,0,0,RAS
TX0000257,Alimentation,0,0,RAS
TX0000260,Alimentation,0,0,RAS
TX0000259,Alimentation,0,0,RAS
TX0000263,Santé,0,0,RAS
TX0000262,Santé,0,0,RAS
TX0000261,E-commerce,0,0,RAS
TX0000265,Loisirs,0,0,RAS
TX0000264,Shopping,0,0,RAS
TX0000266,Shopping,0,0,RAS
TX0000267,Logement,0,0,RAS
TX0000268,Logement,0,0,RAS
TX0000269,Logement,0,0,RAS
TX0000270,Santé,0,0,RAS
TX0000271,Logement,0,0,RAS
TX0000272,Transport,0,0,RAS
TX0000273,Voyage,0,0,RAS
TX0000274,Alimentation,0,0,RAS
TX0000275,Shopping,0,0,RAS
TX0000276,Alimentation,0,0,RAS
TX0000278,Shopping,0,0,RAS
TX0000277,Transport,0,0,RAS
TX0000280,Transport,0,0,RAS
TX0000279,Shopping,0,0,RAS
TX0000282,Retrait cash,0,0,RAS
TX0000281,Shopping,1,0,Libellé de régularisation
TX0000283,Alimentation,0,0,RAS
TX0000284,Alimentation,0,0,RAS
TX0000285,Santé,0,0,RAS
TX0000286,Shopping,0,0,RAS
TX0000288,Loisirs,0,0,RAS
TX0000287,Voyage,0,0,RAS
TX0000289,E-commerce,0,0,RAS
TX0000290,Transport,0,0,RAS
TX0000291,Transport,0,0,RAS
TX0000292,Retrait cash,0,0,RAS
TX0000293,Factures,1,0,Montant élevé pour ce type de dépense
TX0000294,Voyage,0,0,RAS
TX0000295,Factures,0,0,RAS
TX0000296,Alimentation,0,0,RAS
TX0000297,Loisirs,0,0,RAS
TX0000298,Transport,0,0,RAS
TX0000299,Transport,0,0,RAS
TX0000301,E-commerce,0,0,RAS
TX0000300,Transport,0,0,RAS
TX0000302,Factures,0,0,RAS
TX0000303,Transport,0,0,RAS
TX0000304,Factures,0,0,RAS
TX0000305,Voyage,0,0,RAS
TX0000307,Loisirs,0,0,RAS
TX0000306,Retrait cash,0,0,RAS
TX0000308,Revenu,0,0,Salaire mensuel
TX0000309,Factures,0,0,RAS
TX0000310,Transport,0,0,RAS
TX0000311,Shopping,0,0,RAS
TX0000312,Revenu,0,0,Salaire mensuel
TX0000313,Transport,0,0,RAS
TX0000315,Retrait cash,0,0,RAS
TX0000314,Voyage,0,0,RAS
TX0000316,Alimentation,0,0,RAS
TX0000318,Alimentation,0,0,RAS
TX0000319,Voyage,0,0,RAS
TX0000317,Retrait cash,0,0,RAS
TX0000321,Transport,0,0,RAS
TX0000320,Logement,0,0,RAS
TX0000322,Santé,0,0,RAS
TX0000323,Logement,0,0,RAS
TX0000324,Alimentation,0,0,RAS
TX0000327,Alimentation,0,0,RAS
TX0000326,Transport,0,0,RAS
TX0000325,E-commerce,0,0,RAS
TX0000329,E-commerce,0,0,RAS
TX0000328,Transport,0,0,RAS
TX0000330,Transport,0,0,RAS
TX0000331,Retrait cash,0,0,RAS
TX0000334,Factures,0,0,RAS
TX0000333,Loisirs,0,0,RAS
TX0000332,E-commerce,0,0,RAS
TX0000337,Shopping,0,0,RAS
TX0000335,Factures,0,0,RAS
TX0000336,Shopping,0,0,RAS
TX0000338,Shopping,0,0,RAS
TX0000339,Santé,0,0,RAS
TX0000341,Transport,0,0,RAS
TX0000340,Alimentation,0,0,RAS
TX0000343,Transport,0,0,RAS
TX0000342,Alimentation,0,0,RAS
TX0000345,Transport,0,0,RAS
TX0000346,Transport,0,0,RAS
TX0000344,Alimentation,0,0,RAS
TX0000349,Retrait cash,0,0,RAS
TX0000347,Logement,0,0,RAS
TX0000348,Transport,0,0,RAS
TX0000351,E-commerce,0,0,RAS
TX0000350,Alimentation,0,0,RAS
TX0000353,Loisirs,0,0,RAS
TX0000354,Logement,0,0,RAS
TX0000352,Retrait cash,0,0,RAS
TX0000355,Shopping,0,0,RAS
TX0000356,Loisirs,0,0,RAS
TX0000357,E-commerce,0,0,RAS
TX0000358,Factures,0,0,RAS
TX0000359,Transport,0,0,RAS
TX0000360,Retrait cash,0,0,RAS
TX0000362,Shopping,0,0,RAS
