transaction_id,customer_id,transaction_date,transaction_time,account_type,payment_method,direction,amount,balance_after,narration,merchant_name,merchant_city,merchant_country,transaction_datetime,year,month,day,hour,weekday,month_name,clean_narration,clean_merchant_name,is_debit,is_credit,transaction_type,time_period
TX0500000,CUST0001_SEASONAL,2024-01-01,09:26:00,Salaire,Virement instantané,Credit,13774.0,26008.0,virement employeur,Salaire,Casablanca,MA,2024-01-01 09:26:00,2024,1,1,9,Monday,January,VIREMENT EMPLOYEUR,SALAIRE,0,1,Revenu,Matin
TX0500002,CUST0001_SEASONAL,2024-01-01,09:26:00,Courant,ATM,Debit,158.25,25849.75,TRANSPORT,ATM,Casablanca,MA,2024-01-01 09:26:00,2024,1,1,9,Monday,January,TRANSPORT,ATM,1,0,Dépense,Matin
TX0500002,CUST0001_SEASONAL,2024-01-02,12:23:00,Courant,Wallet,Debit,95.65,25754.09,TRANSPORT,Shell,Casablanca,MA,2024-01-02 12:23:00,2024,1,2,12,Tuesday,January,TRANSPORT,SHELL,1,0,Dépense,Après-midi
TX0500003,CUST0001_SEASONAL,2024-01-02,12:03:00,Courant,Espèces,Debit,108.89,25645.21,ACHAT SUPERMARCHE,Careem,Oujda,MA,2024-01-02 12:03:00,2024,1,2,12,Tuesday,January,ACHAT SUPERMARCHE,CAREEM,1,0,Dépense,Après-midi
TX0500004,CUST0001_SEASONAL,2024-01-03,12:08:00,Courant,ATM,Debit,231.01,25414.2,ACHAT SUPERMARCHE,ATM,Oujda,MA,2024-01-03 12:08:00,2024,1,3,12,Wednesday,January,ACHAT SUPERMARCHE,ATM,1,0,Dépense,Après-midi
TX0500005,CUST0001_SEASONAL,2024-01-03,17:24:00,Courant,Espèces,Debit,229.25,25184.94,ACHAT EPICERIE,Shell,Casablanca,MA,2024-01-03 17:24:00,2024,1,3,17,Wednesday,January,ACHAT EPICERIE,SHELL,1,0,Dépense,Après-midi
TX0500006,CUST0001_SEASONAL,2024-01-03,11:10:00,Courant,Virement instantané,Debit,51.5,25133.44,RETRAIT ATM,Careem,Oujda,MA,2024-01-03 11:10:00,2024,1,3,11,Wednesday,January,RETRAIT ATM,CAREEM,1,0,Dépense,Matin
TX0500007,CUST0001_SEASONAL,2024-01-04,10:51:00,Courant,Espèces,Debit,78.68,25054.76,ACHAT EPICERIE,Shell,Oujda,MA,2024-01-04 10:51:00,2024,1,4,10,Thursday,January,ACHAT EPICERIE,SHELL,1,0,Dépense,Matin
TX0500008,CUST0001_SEASONAL,2024-01-05,09:46:00,Courant,Wallet,Debit,171.47,24883.29,RETRAIT ATM,Pharmacie,Marrakech,MA,2024-01-05 09:46:00,2024,1,5,9,Friday,January,RETRAIT ATM,PHARMACIE,1,0,Dépense,Matin
TX0500009,CUST0001_SEASONAL,2024-01-05,14:14:00,Courant,Virement instantané,Debit,50.45,24832.84,ACHAT SUPERMARCHE,Shell,Oujda,MA,2024-01-05 14:14:00,2024,1,5,14,Friday,January,ACHAT SUPERMARCHE,SHELL,1,0,Dépense,Après-midi
TX0500010,CUST0001_SEASONAL,2024-01-06,13:41:00,Courant,Espèces,Debit,116.85,24715.99,CARBURANT,ATM,Tanger,MA,2024-01-06 13:41:00,2024,1,6,13,Saturday,January,CARBURANT,ATM,1,0,Dépense,Après-midi
TX0500011,CUST0001_SEASONAL,2024-01-06,14:43:00,Courant,Espèces,Debit,200.71,24515.28,RETRAIT ATM,Careem,Oujda,MA,2024-01-06 14:43:00,2024,1,6,14,Saturday,January,RETRAIT ATM,CAREEM,1,0,Dépense,Après-midi
TX0500012,CUST0001_SEASONAL,2024-01-07,18:40:00,Courant,Virement instantané,Debit,146.45,24368.84,ACHAT SUPERMARCHE,Pharmacie,Meknès,MA,2024-01-07 18:40:00,2024,1,7,18,Sunday,January,ACHAT SUPERMARCHE,PHARMACIE,1,0,Dépense,Soir
TX0500013,CUST0001_SEASONAL,2024-01-07,14:43:00,Courant,Carte,Debit,105.33,24263.51,ACHAT SUPERMARCHE,Carrefour,Tanger,MA,2024-01-07 14:43:00,2024,1,7,14,Sunday,January,ACHAT SUPERMARCHE,CARREFOUR,1,0,Dépense,Après-midi
TX0500014,CUST0001_SEASONAL,2024-01-07,14:04:00,Courant,Wallet,Debit,181.08,24082.43,ACHAT EPICERIE,ATM,Agadir,MA,2024-01-07 14:04:00,2024,1,7,14,Sunday,January,ACHAT EPICERIE,ATM,1,0,Dépense,Après-midi
TX0500015,CUST0001_SEASONAL,2024-01-08,08:50:00,Courant,Carte,Debit,36.82,24045.62,RETRAIT ATM,ATM,Casablanca,MA,2024-01-08 08:50:00,2024,1,8,8,Monday,January,RETRAIT ATM,ATM,1,0,Dépense,Matin
TX0500016,CUST0001_SEASONAL,2024-01-08,17:12:00,Courant,Wallet,Debit,155.44,23890.17,ACHAT SUPERMARCHE,Careem,Rabat,MA,2024-01-08 17:12:00,2024,1,8,17,Monday,January,ACHAT SUPERMARCHE,CAREEM,1,0,Dépense,Après-midi
TX0500017,CUST0001_SEASONAL,2024-01-08,16:29:00,Courant,Virement,Debit,119.9,23770.27,RETRAIT ATM,ATM,Agadir,MA,2024-01-08 16:29:00,2024,1,8,16,Monday,January,RETRAIT ATM,ATM,1,0,Dépense,Après-midi
TX0500018,CUST0001_SEASONAL,2024-01-09,12:34:00,Courant,Carte,Debit,161.3,23608.97,CARBURANT,ATM,Marrakech,MA,2024-01-09 12:34:00,2024,1,9,12,Tuesday,January,CARBURANT,ATM,1,0,Dépense,Après-midi
TX0500019,CUST0001_SEASONAL,2024-01-09,18:46:00,Courant,ATM,Debit,211.18,23397.8,ACHAT EPICERIE,ATM,Rabat,MA,2024-01-09 18:46:00,2024,1,9,18,Tuesday,January,ACHAT EPICERIE,ATM,1,0,Dépense,Soir
TX0500020,CUST0001_SEASONAL,2024-01-09,14:49:00,Courant,Carte,Debit,223.56,23174.23,ACHAT SUPERMARCHE,Carrefour,Marrakech,MA,2024-01-09 14:49:00,2024,1,9,14,Tuesday,January,ACHAT SUPERMARCHE,CARREFOUR,1,0,Dépense,Après-midi
TX0500021,CUST0001_SEASONAL,2024-01-10,15:42:00,Courant,Espèces,Debit,189.99,22984.24,TRANSPORT,ATM,Tanger,MA,2024-01-10 15:42:00,2024,1,10,15,Wednesday,January,TRANSPORT,ATM,1,0,Dépense,Après-midi
